,robot_number,tot_score,detractors,weighted_score
0,2106.0,100.73857142857143,0.0,100.73857142857143
1,619.0,72.29838709677419,0.0,72.29838709677419
2,4099.0,66.23333333333333,0.0,66.23333333333333
3,3136.0,60.75,0.0,60.75
4,346.0,55.315384615384616,0.07692307692307693,54.54615384615385
5,3939.0,47.616176470588236,0.029411764705882353,47.32205882352941
6,401.0,47.354838709677416,0.0,47.354838709677416
7,1086.0,42.91388888888889,0.1111111111111111,41.80277777777778
8,1731.0,40.0,0.0,40.0
9,540.0,39.8203125,0.03125,39.5078125
10,1262.0,36.41724137931034,0.0,36.41724137931034
11,5353.0,32.0,1.0,22.0
12,4472.0,29.95,1.0,19.95
13,5804.0,28.666666666666664,0.06666666666666667,27.999999999999996
14,1599.0,27.838235294117645,0.029411764705882353,27.544117647058822
15,404.0,25.770370370370372,0.0,25.770370370370372
16,977.0,24.758333333333333,0.03333333333333333,24.425
17,5243.0,20.7,0.0,20.7
18,539.0,19.76666666666667,0.0,19.76666666666667
19,122.0,19.75,0.0,19.75
20,617.0,19.017241379310345,0.0,19.017241379310345
21,8592.0,18.689999999999998,0.06666666666666667,18.02333333333333
22,3373.0,18.5,0.0,18.5
23,3258.0,18.0,0.0,18.0
24,3072.0,17.794999999999998,0.06666666666666667,17.12833333333333
25,2363.0,17.424999999999997,0.0,17.424999999999997
26,1522.0,15.732758620689655,0.034482758620689655,15.387931034482758
27,8326.0,13.79857142857143,0.02857142857142857,13.512857142857143
28,6882.0,13.75,0.0,13.75
29,2890.0,12.5,0.0,12.5
30,10224.0,12.46774193548387,0.22580645161290322,10.209677419354838
31,10004.0,12.446153846153846,0.0,12.446153846153846
32,2068.0,11.5,0.0,11.5
33,612.0,8.5,0.25,6.0
34,3361.0,6.6450000000000005,0.0,6.6450000000000005
35,526.0,6.574999999999999,0.5,1.5749999999999993
36,10257.0,6.055555555555555,0.2222222222222222,3.833333333333333
37,2963.0,6.0,0.0,6.0
38,2186.0,5.4,0.0,5.4
39,2534.0,5.0,0.3333333333333333,1.666666666666667
